,Country,Year,Unemployment Rate
333,Bosnia and Herzegovina,2012,28.01
334,Bosnia and Herzegovina,2013,27.49
335,Bosnia and Herzegovina,2014,27.52
336,Bosnia and Herzegovina,2015,27.69
337,Bosnia and Herzegovina,2016,25.41
338,Brazil,1991,6.31
339,Brazil,1992,6.42
340,Brazil,1993,6.03
341,Brazil,1994,6.17
342,Brazil,1995,6.42
343,Brazil,1996,7.25
344,Brazil,1997,8.16
345,Brazil,1998,9.42
346,Brazil,1999,10.21
347,Brazil,2000,9.56
348,Brazil,2001,9.61
349,Brazil,2002,9.37
350,Brazil,2003,9.99
351,Brazil,2004,9.11
352,Brazil,2005,9.57
353,Brazil,2006,8.64
354,Brazil,2007,8.33
355,Brazil,2008,7.34
356,Brazil,2009,8.52
357,Brazil,2010,7.27
358,Brazil,2011,6.92
359,Brazil,2012,7.19
360,Brazil,2013,6.98
361,Brazil,2014,6.66
362,Brazil,2015,8.43
363,Brazil,2016,11.6
364,Bulgaria,1991,11.1
365,Bulgaria,1992,15.3
366,Bulgaria,1993,16.4
367,Bulgaria,1994,12.8
368,Bulgaria,1995,11.1
369,Bulgaria,1996,12.5
370,Bulgaria,1997,13.7
371,Bulgaria,1998,12.2
372,Bulgaria,1999,14.1
373,Bulgaria,2000,16.22
374,Bulgaria,2001,19.92
375,Bulgaria,2002,18.11
376,Bulgaria,2003,13.73
377,Bulgaria,2004,12.04
378,Bulgaria,2005,10.08
379,Bulgaria,2006,8.95
380,Bulgaria,2007,6.88
381,Bulgaria,2008,5.61
382,Bulgaria,2009,6.82
383,Bulgaria,2010,10.28
384,Bulgaria,2011,11.26
385,Bulgaria,2012,12.27
386,Bulgaria,2013,12.94
387,Bulgaria,2014,11.42
388,Bulgaria,2015,9.14
389,Bulgaria,2016,7.57
390,Canada,1991,10.32
391,Canada,1992,11.2
392,Canada,1993,11.38
393,Canada,1994,10.4
394,Canada,1995,9.49
395,Canada,1996,9.62
396,Canada,1997,9.1
397,Canada,1998,8.28
398,Canada,1999,7.58
399,Canada,2000,6.83
400,Canada,2001,7.22
401,Canada,2002,7.66
402,Canada,2003,7.57
403,Canada,2004,7.19
404,Canada,2005,6.76
405,Canada,2006,6.32
406,Canada,2007,6.04
407,Canada,2008,6.14
408,Canada,2009,8.34
409,Canada,2010,8.06
410,Canada,2011,7.51
411,Canada,2012,7.29
412,Canada,2013,7.07
413,Canada,2014,6.91
414,Canada,2015,6.91
415,Canada,2016,7
416,Chile,1991,5.23
417,Chile,1992,4.35
418,Chile,1993,4.49
419,Chile,1994,5.87
420,Chile,1995,4.7
421,Chile,1996,7.41
422,Chile,1997,7.14
423,Chile,1998,7.31
424,Chile,1999,11.16
425,Chile,2000,10.49
426,Chile,2001,10.39
427,Chile,2002,10.17
428,Chile,2003,9.77
429,Chile,2004,10.16
430,Chile,2005,9.34
431,Chile,2006,9.02
432,Chile,2007,8.43
433,Chile,2008,9.29
434,Chile,2009,11.31
435,Chile,2010,8.42
436,Chile,2011,7.34
437,Chile,2012,6.66
438,Chile,2013,6.21
439,Chile,2014,6.66
440,Chile,2015,6.51
441,Chile,2016,6.74
442,Colombia,1991,10.12
443,Colombia,1992,9.44
444,Colombia,1993,7.8
445,Colombia,1994,8.25
446,Colombia,1995,8.72
447,Colombia,1996,11.81
448,Colombia,1997,12.14
449,Colombia,1998,15
450,Colombia,1999,20.06
451,Colombia,2000,20.52
452,Colombia,2001,15.04
453,Colombia,2002,14.48
454,Colombia,2003,13.22
455,Colombia,2004,12.74
456,Colombia,2005,11.06
457,Colombia,2006,11.29
458,Colombia,2007,10.25
459,Colombia,2008,10.49
460,Colombia,2009,11.29
461,Colombia,2010,10.98
462,Colombia,2011,10.11
463,Colombia,2012,9.74
464,Colombia,2013,9.05
465,Colombia,2014,8.57
466,Colombia,2015,8.3
467,Colombia,2016,8.69
520,Costa Rica,1991,5.37
521,Costa Rica,1992,3.93
522,Costa Rica,1993,3.95
523,Costa Rica,1994,4.05
524,Costa Rica,1995,5.18
525,Costa Rica,1996,6.16
526,Costa Rica,1997,5.68
527,Costa Rica,1998,5.33
528,Costa Rica,1999,5.9
529,Costa Rica,2000,5.08
530,Costa Rica,2001,5.92
